ID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,PROGRAMME__C,ORDER__C,PRODUCT__C,EXEMPTION_REASONS__C,EXEMPTIONS_ALLOWED__C,MODULE_NAME__C,NUMBER_OF_RESITS_ALLOWED__C
a3wb0000000gXE7AAM,FALSE,MOD-001919,GBP,1461851185000,005b0000000L061AAC,1461851185000,005b0000000L061AAC,1461851185000,a3zb0000000kWwWAAU,40,01tb0000003DoOVAA0,,FALSE,<a href=""/a3wb0000000gXE7"" target=""_top"">Will Preparation - Workshop 2</a>,3
a3wb0000000gXEHAA2,FALSE,MOD-001922,GBP,1461851217000,005b0000000L061AAC,1461851217000,005b0000000L061AAC,1461851217000,a3zb0000000kWwWAAU,70,01tb0000003DoOXAA0,,FALSE,<a href=""/a3wb0000000gXEH"" target=""_top"">Will Preparation - Workshop 3</a>,3
a3wb0000000gXEMAA2,FALSE,MOD-001923,GBP,1461851225000,005b0000000L061AAC,1461851225000,005b0000000L061AAC,1506798377000,a3zb0000000kWwWAAU,80,01tb0000003DoOZAA0,,FALSE,<a href=""/a3wb0000000gXEM"" target=""_top"">Will Preparation - Exam</a>,3
a3wb0000000gXERAA2,FALSE,MOD-001924,GBP,1461856478000,005b0000000L061AAC,1461856478000,005b0000000L061AAC,1461856478000,a3zb0000000kWwgAAE,10,01tb00000057tG3AAI,,FALSE,"<a href=""/a3wb0000000gXER"" target=""_top"">ICA International Diploma in Governance, Risk and Compliance - Registration</a>",3
a3wb0000000gXEWAA2,FALSE,MOD-001925,GBP,1461856486000,005b0000000L061AAC,1461856486000,005b0000000L061AAC,1461856486000,a3zb0000000kWwgAAE,20,01tb0000004MzysAAC,,FALSE,"<a href=""/a3wb0000000gXEW"" target=""_top"">ICA International Diploma in Governance, Risk and Compliance - Exam</a>",3
a3wb0000000gXL3AAM,FALSE,MOD-001926,GBP,1462353067000,005b0000000L061AAC,1474534091000,005b0000000L061AAC,1474688172000,a3zb0000000QAK2AAO,20,01tb0000006Qo27AAC,,FALSE,<a href=""/a3wb0000000gXL3"" target=""_top"">ICA Intl Advanced Certificate in Compliance - Webinar 1</a>,3
a3wb0000000gXL8AAM,FALSE,MOD-001927,GBP,1462353075000,005b0000000L061AAC,1474534151000,005b0000000L061AAC,1474688172000,a3zb0000000QAK2AAO,50,01tb0000006Qo2CAAS,,FALSE,<a href=""/a3wb0000000gXL8"" target=""_top"">ICA Intl Advanced Certificate in Compliance - Webinar 2</a>,3
a3wb0000000gXYXAA2,FALSE,MOD-001930,GBP,1464090501000,005b0000000L1KUAA0,1464090501000,005b0000000L1KUAA0,1464282329000,a3zb0000000kXz8AAE,10,01tb0000005897qAAA,,FALSE,<a href=""/a3wb0000000gXYX"" target=""_top"">ICA Specialist Certificate in Money Laundering Risk in Correspondent Banking</a>,99
a3wb0000000gXYmAAM,FALSE,MOD-001931,GBP,1464094116000,005b0000000L05NAAS,1464094156000,005b0000000L05NAAS,1464282329000,a3zb0000000kXzDAAU,10,01tb0000004MryVAAS,,FALSE,<a href=""/a3wb0000000gXYm"" target=""_top"">Taxation of Trusts &amp; Estates - England &amp; Wales - Exemption</a>,1
a3wb0000000gXuzAAE,FALSE,MOD-001932,GBP,1464682948000,005b0000000L061AAC,1464682948000,005b0000000L061AAC,1464682948000,a3zb0000000kY6GAAU,10,01tb0000005AB1iAAG,,FALSE,<a href=""/a3wb0000000gXuz"" target=""_top"">Level 3 - Residential Conveyancing - Registration</a>,3
a3wb0000000gXv4AAE,FALSE,MOD-001933,GBP,1464682954000,005b0000000L061AAC,1464682954000,005b0000000L061AAC,1464682954000,a3zb0000000kY6GAAU,20,01tb0000005AB1gAAG,,FALSE,<a href=""/a3wb0000000gXv4"" target=""_top"">Level 3 - Residential Conveyancing - Assignment 1</a>,3
a3wb0000000gXv9AAE,FALSE,MOD-001934,GBP,1464682962000,005b0000000L061AAC,1464682962000,005b0000000L061AAC,1464817266000,a3zb0000000kY6GAAU,30,01tb0000005AB1hAAG,,FALSE,<a href=""/a3wb0000000gXv9"" target=""_top"">Level 3 - Residential Conveyancing - Assignment 2</a>,3
