ID,OWNERID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,LASTVIEWEDDATE,LASTREFERENCEDDATE,BRAND__C,BRAND_TEXT__C,NO_OF_PROGRAMME_PASSES_REQUIRED__C
a410X000001EROHQA4,0050X00000A79ttQAB,FALSE,ICT In-House Training,GBP,1585659762000,0050X00000A79ttQAB,1585659762000,0050X00000A79ttQAB,1585659762000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a410X000001EROWQA4,0050X000008uoG9QAI,FALSE,ICA Advanced Certificate in Managing Sanctions Risk,GBP,1586180065000,0050X000008uoG9QAI,1586180065000,0050X000008uoG9QAI,1586180065000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000PJNXAA4,005b00000024A7xAAE,FALSE,"ICA Diploma in Governance, Risk and Compliance",SGD,1449158771000,005b00000024A7xAAE,1539946087000,005b0000000LhTLAA0,1539946087000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000PJNZAA4,005b00000024A7xAAE,FALSE,International Compliance Training,SGD,1449158771000,005b00000024A7xAAE,1453439470000,005b0000000L061AAC,1512614001000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000PJNaAAO,005b00000024A7xAAE,FALSE,ICA Soft Skills Training for Compliance/AML Professsionals - Singapore,SGD,1449158771000,005b00000024A7xAAE,1453176036000,005b0000000L061AAC,1502823762000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000Px3WAAS,005b0000000L061AAC,FALSE,ICA Specialist Certificate,GBP,1453437779000,005b0000000L061AAC,1453437779000,005b0000000L061AAC,1527039303000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000clYMAAY,005b0000000L061AAC,FALSE,ICA Certificate in Ethics Leadership,GBP,1472550238000,005b0000000L061AAC,1472553751000,005b0000000L061AAC,1502924683000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000clYWAAY,005b0000000L061AAC,FALSE,STEP Diploma in Trusts and Estates (Scotland),GBP,1472564789000,005b0000000L061AAC,1472564790000,005b0000000L061AAC,1524534647000,,,,a39b00000008fYRAAY,CLT International,5
a41b0000000clYbAAI,005b0000000L061AAC,FALSE,STEP Diploma in Tax and Estate Planning (Scotland),GBP,1472564810000,005b0000000L061AAC,1472564810000,005b0000000L061AAC,1518834807000,,,,a39b00000008fYRAAY,CLT International,5
a41b0000000g3njAAA,005b0000000L061AAC,FALSE,STEP Diploma in Will Preparation (England and Wales),GBP,1461850742000,005b0000000L061AAC,1461850742000,005b0000000L061AAC,1516379058000,,,,a39b00000008fYRAAY,CLT International,5
a41b0000000kJxLAAU,005b00000024A7xAAE,FALSE,University of The West of England,GBP,1457521435000,005b00000024A7xAAE,1458033767000,005b0000000L061AAC,1458033767000,,,,a39b00000008jmnAAA,CLT Scotland,50
a41b0000000kMWZAA2,005b0000000L061AAC,FALSE,ICA Certificate in Anti Money Laundering,GBP,1458296863000,005b0000000L061AAC,1458297009000,005b0000000L061AAC,1525829622000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000kMWeAAM,005b0000000L061AAC,FALSE,ICA Advanced Certificate in Practical Customer Due Diligence..,GBP,1458298870000,005b0000000L061AAC,1458298870000,005b0000000L061AAC,1517625298000,,,,a39b0000000Tdo9AAC,ICTA,1
a41b0000000kP8rAAE,005b0000000L061AAC,FALSE,STEP Diploma in Trusts and Estates (Northern Ireland),GBP,1460293363000,005b0000000L061AAC,1460293363000,005b0000000L061AAC,1524534647000,,,,a39b00000008fYRAAY,CLT International,4
a410X000001UmRzQAK,0050X000008WJKzQAO,FALSE,University of Aberdeen Bond Solon Expert Witness Certificate,GBP,1598349080000,0050X000008WJKzQAO,1598349080000,0050X000008WJKzQAO,1598349080000,,,,a39b0000000HoE0AAK,Bond Solon,5
a4167000000AH38AAG,0050X00000A7cf7QAB,FALSE,ICA International Diploma in Managing Sanctions Risk (LT),GBP,1627553633000,0050X00000A7cf7QAB,1627553633000,0050X00000A7cf7QAB,1627553633000,,,,a39b00000008igkAAA,La Touche Training,1
a4167000000f0yaAAA,0050X00000A7cf7QAB,FALSE,STEP Adv Cert in Trusts Law and Practice (International),GBP,1622197847000,0050X00000A7cf7QAB,1622716534000,0050X00000A7cf7QAB,1622716534000,,,,a39b00000008fYRAAY,CLT International,1
a4167000001UnQsAAK,0050X000008uoG9QAI,FALSE,ICA Diploma in Regulatory Compliance Module 1 (Specialist),GBP,1600700033000,0050X000008uoG9QAI,1600700033000,0050X000008uoG9QAI,1600700033000,,,,a39b0000000Tdo9AAC,ICTA,1
a4167000001Unr7AAC,0050X000008uoG9QAI,FALSE,ICA Certificate in Managing Sanctions Risk,GBP,1601906605000,0050X000008uoG9QAI,1601906605000,0050X000008uoG9QAI,1601906605000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a4167000001UnrCAAS,0050X000008uoG9QAI,FALSE,ICA Certificate in Trade Based Money Laundering,GBP,1601907540000,0050X000008uoG9QAI,1601907540000,0050X000008uoG9QAI,1601907540000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a4167000001UpItAAK,0050X000008uoG9QAI,FALSE,ICA Professional Postgraduate Diploma in Financial Crime Compliance,GBP,1603724279000,0050X000008uoG9QAI,1603724279000,0050X000008uoG9QAI,1603724279000,,,,a39b0000000Tdo4AAC,ICT Middle East,1
a4167000001UpgiAAC,0050X000008uoG9QAI,FALSE,ICA Advanced Certificate in Regulatory Compliance,GBP,1605095462000,0050X000008uoG9QAI,1605095462000,0050X000008uoG9QAI,1605095462000,,,,a390X00000017pRQAQ,ICTA Malaysia,1
a4167000001UrzbAAC,0050X000008uoG9QAI,FALSE,ICA Diploma in Financial Crime Compliance Module 5 (Core),GBP,1605883838000,0050X000008uoG9QAI,1605883838000,0050X000008uoG9QAI,1605883838000,,,,a39b0000000Tdo9AAC,ICTA,1
