ID,ISOCODE,STARTDATE,NEXTSTARTDATE,CONVERSIONRATE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP
04w0X000000DV1GQAW,AED,2018-12-01,2019-01-01,4.68174,1543833635000,005b0000000L061AAC,1543833635000,005b0000000L061AAC,1546422535000
04w0X000000DV1YQAW,USD,2019-01-01,2019-02-01,1.2769,1546422536000,005b0000000L061AAC,1546422536000,005b0000000L061AAC,1549014677000
04w0X000000DV1gQAG,SEK,2019-02-01,2019-03-01,11.8999,1549014676000,005b0000000L061AAC,1549014676000,005b0000000L061AAC,1551449901000
04w0X000000Qfn6QAC,AED,2019-03-01,2021-09-02,4.88002,1551449900000,005b0000000L061AAC,1551449900000,005b0000000L061AAC,1630593681000
04w0X000000kCggQAE,AED,2018-01-01,2018-02-01,4.95846,1514890064000,005b0000000L061AAC,1514890064000,005b0000000L061AAC,1517485559000
04w0X000000kCh1QAE,AUD,2018-03-01,2018-04-01,1.7687,1519903461000,005b0000000L061AAC,1519903461000,005b0000000L061AAC,1522918674000
04w0X000000kCh6QAE,SGD,2018-03-01,2018-04-01,1.8231,1519903462000,005b0000000L061AAC,1519903462000,005b0000000L061AAC,1522918674000
04w0X000000kChLQAU,AUD,2018-05-01,2018-06-01,1.8251,1525168937000,005b0000000L061AAC,1525168937000,005b0000000L061AAC,1527844671000
04w0X000000DV02QAG,HKD,2018-07-01,2018-08-01,10.3583,1530521704000,005b0000000L061AAC,1530521704000,005b0000000L061AAC,1533542831000
04w0X000000DV04QAG,SEK,2018-07-01,2018-08-01,11.8116,1530521705000,005b0000000L061AAC,1530521705000,005b0000000L061AAC,1533542832000
04w0X000000DV06QAG,USD,2018-07-01,2018-08-01,1.3203,1530521705000,005b0000000L061AAC,1530521705000,005b0000000L061AAC,1533542832000
04w0X000000DV0WQAW,HKD,2018-08-01,2018-09-01,10.2925,1533542831000,005b0000000L061AAC,1533542831000,005b0000000L061AAC,1535968737000
04w0X000000DV0XQAW,MYR,2018-08-01,2018-09-01,5.3321,1533542831000,005b0000000L061AAC,1533542831000,005b0000000L061AAC,1535968737000
04w0X000000DV0ZQAW,SGD,2018-08-01,2018-09-01,1.7857,1533542832000,005b0000000L061AAC,1533542832000,005b0000000L061AAC,1535968737000
04w0X000000DV0gQAG,HKD,2018-09-01,2018-10-01,10.199,1535968737000,005b0000000L061AAC,1535968737000,005b0000000L061AAC,1538409076000
04w0X000000DV0wQAG,AED,2018-10-01,2018-11-01,4.78364,1538409075000,005b0000000L061AAC,1538409075000,005b0000000L061AAC,1541070116000
04w0X000000DV12QAG,SEK,2018-10-01,2018-11-01,11.5255,1538409076000,005b0000000L061AAC,1538409076000,005b0000000L061AAC,1541070116000
04w0X000000DV16QAG,AED,2018-11-01,2018-12-01,4.67981,1541070116000,005b0000000L061AAC,1541070116000,005b0000000L061AAC,1543833635000
04w0X000000DV19QAG,EUR,2018-11-01,2018-12-01,1.1277,1541070116000,005b0000000L061AAC,1541070116000,005b0000000L061AAC,1543833636000
04w0X000000DV1IQAW,CHF,2018-12-01,2019-01-01,1.275,1543833636000,005b0000000L061AAC,1543833636000,005b0000000L061AAC,1546422535000
04w0X000000DV1hQAG,SGD,2019-02-01,2019-03-01,1.7684,1549014676000,005b0000000L061AAC,1549014676000,005b0000000L061AAC,1551449901000
04w0X000000kCgkQAE,HKD,2018-01-01,2018-02-01,10.5585,1514890064000,005b0000000L061AAC,1514890064000,005b0000000L061AAC,1517485559000
