ID,ISDELETED,NAME,CURRENCYISOCODE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,CONTACT__C,LA1__C,FEE__C
a420X000000OhHJQA0,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050826000,005b0000000L1KUAA0,1571050826000,,0030X00002gW2qaQAC,a3Qb00000008ULuEAM,0
a420X000000OhHQQA0,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050841000,005b0000000L1KUAA0,1571050841000,,0030X00002gW2qDQAS,a3Qb00000008ULuEAM,0
a420X000000OhHSQA0,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050841000,005b0000000L1KUAA0,1571050841000,,0030X00002gW2qEQAS,a3Qb00000008ULuEAM,0
a420X000000OhHWQA0,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050841000,005b0000000L1KUAA0,1571050841000,,0030X00002gW2qGQAS,a3Qb00000008ULuEAM,0
a420X000000OhHeQAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050826000,005b0000000L1KUAA0,1571050826000,,0030X00002gW2qKQAS,a3Qb00000008ULuEAM,0
a420X000000OhHfQAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050852000,005b0000000L1KUAA0,1571050852000,,0030X00002gW2qlQAC,a3Qb00000008ULuEAM,0
a420X000000OhHjQAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050815000,005b0000000L1KUAA0,1571050815000,,0030X00002gW2qnQAC,a3Qb00000008ULuEAM,0
a420X000000OhHpQAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050861000,005b0000000L1KUAA0,1571050861000,,0030X00002gW2qRQAS,a3Qb00000008ULuEAM,0
a420X000000OhHsQAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050826000,005b0000000L1KUAA0,1571050826000,,0030X00002gW2qUQAS,a3Qb00000008ULuEAM,0
a420X000000OhHuQAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050783000,005b0000000L1KUAA0,1571050784000,,0030X00002gW2qWQAS,a3Qb00000008ULuEAM,0
a420X000000OhHvQAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050846000,005b0000000L1KUAA0,1571050847000,,0030X00002gW2qXQAS,a3Qb00000008ULuEAM,0
a420X000000OhHwQAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050852000,005b0000000L1KUAA0,1571050852000,,0030X00002gW2qYQAS,a3Qb00000008ULuEAM,0
a420X000000OhHxQAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050852000,005b0000000L1KUAA0,1571050852000,,0030X00002gW2qZQAS,a3Qb00000008ULuEAM,0
a420X000000OhI0QAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050783000,005b0000000L1KUAA0,1571050784000,,0030X00002gW2ucQAC,a3Qb00000008ULuEAM,0
a420X000000OhI3QAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050836000,005b0000000L1KUAA0,1571050836000,,0030X00002gW2ueQAC,a3Qb00000008ULuEAM,0
a420X000000OhI5QAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050846000,005b0000000L1KUAA0,1571050847000,,0030X00002gW2ufQAC,a3Qb00000008ULuEAM,0
a420X000000OhI7QAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050861000,005b0000000L1KUAA0,1571050861000,,0030X00002gW2ugQAC,a3Qb00000008ULuEAM,0
a420X000000OhI9QAK,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050798000,005b0000000L1KUAA0,1571050798000,,0030X00002gW2uhQAC,a3Qb00000008ULuEAM,0
a420X000000OhIAQA0,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050783000,005b0000000L1KUAA0,1571050784000,,0030X00002gW2uHQAS,a3Qb00000008ULuEAM,0
a420X000000OhIFQA0,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050820000,005b0000000L1KUAA0,1571050820000,,0030X00002gW2ukQAC,a3Qb00000008ULuEAM,0
a420X000000OhIHQA0,FALSE,FRA Speaker,GBP,1571048320000,005b0000000L1KUAA0,1571050783000,005b0000000L1KUAA0,1571050784000,,0030X00002gW2ulQAC,a3Qb00000008ULuEAM,0
